NAME	DESCRIPTION	Naive WT 1	Naive WT 2	Naive KO 1	Naive KO 2	Activated WT	Activated KO	Memory WT	Memory KO	WT Foxp3+	KO Foxp3+
Cic	71722	1239.704832	1144.801164	1160.644934	1146.440264	509.1135842	705.834052	1147.33115	660.76931	631.487436	591.134422
Riok3	66878	6300.103664	3885.191364	5742.55244	4145.628	4068.70796	4376.39108	2956.10982	2743.615564	2629.565136	2472.50872
Dctn5	59288	2137.8082	2006.413578	1698.700044	2156.687968	2740.746658	2768.54424	1985.418298	1963.61516	2483.353124	2271.713568
Rragc	54170	5256.18374	2234.723262	4643.2151	2491.774324	6744.66599	6171.44164	2346.47858	1813.077182	1478.36756	1273.795152
Tbl3	213773	762.118156	563.413356	729.464916	496.1155804	1942.096478	1902.587212	379.1051524	316.230786	379.4055036	247.3157848
Hp1bp3	15441	11245.2694	7947.8294	11880.36256	8244.02698	5951.02302	6005.1777	5683.34948	4808.00126	5963.52976	5102.4665
BC031181	407819	5533.20496	4663.81596	5021.5919	4763.48434	6142.64602	6374.54944	3414.18092	4190.4609	3089.8108	2647.122598
D10Bwg1364e	216169	1726.165958	1778.48566	2183.571206	1626.574982	2827.187908	2938.42974	1767.143236	1575.38452	1195.193388	1109.567174
Polr2f	69833	1477.132648	3017.74701	2096.4977	2854.54778	5696.86928	6298.97472	2388.19682	2023.846424	2010.592728	1756.093482
Ube2v1	66589	4083.244076	2575.850016	3453.12194	2506.330272	5252.062384	4708.288702	2752.485278	2423.999944	1759.909736	1262.543674
Snapap	20615	2210.85212	1356.093142	1625.207462	1393.17469	1319.07442	1254.53606	1630.069484	1189.384758	1529.048458	919.590748
Gbf1	107338	678.697364	495.62795	560.521473	486.649234	402.637552	387.004312	656.729354	401.61539	352.43277	322.686176
2510002A14Rik	72313	4173.76354	3812.242904	4355.33771	4019.818602	1937.24896	1863.855686	4414.67128	4728.53784	3911.195704	3637.035472
Hbxip	68576	3058.16544	3803.542798	3574.59405	3992.74326	7338.766184	7328.8342	3017.362802	3963.76893	3697.823808	3377.89095
Atox1	11927	2183.272986	2870.32014	2147.01565	3248.467984	3398.34492	3603.957324	2935.746944	3132.61536	2509.93718	2335.976722
Mrpl52	68836	386.110688	1718.253138	757.897122	2525.16083	1088.187908	1259.102082	1658.543648	1632.7693	1623.647098	1680.362548
Mrpl52	68836	569.6088062	2145.90417	922.144118	3200.83078	1397.92142	1647.838216	2126.713528	2109.538572	1988.516974	1800.017588
2510006D16Rik	76799	4558.50804	5241.28458	4547.2556	5216.54342	2559.30147	2597.4	3413.353304	3060.30774	2465.78582	2127.39196
Zc3h11a	70579	13912.2738	9974.2269	11775.77392	10835.45222	9747.80318	11121.0974	8881.9869	7672.53978	7181.963884	6837.64144
Hnrpul2	68693	819.870864	1376.45735	876.703345	1066.02772	1776	1173.293532	968.787502	1309.769142	1063.672152	1055.329466
4930564D15Rik	75365	916.67167	763.710636	929.379172	791.09774	254.6375816	291.2765726	759.948624	544.6154542	573.344526	616.378116
Ythdf1	228994	4070.681688	1750.18584	2697.2556	1731.213128	3583.991384	2748.076284	1109.337848	1173.846164	1429.94122	1297.52451
Ube2r2	67615	2518.18448	3017.55572	2439.969218	3083.469518	1422.642008	1656.970186	2715.73414	1840.000232	2243.16385	1858.799192
Itch	16396	2142.449776	1390.32051	1929.458018	1803.075786	1400.506388	1539.82974	1303.194538	1156.538526	920.958046	921.826436
Wdr6	83669	1016.066398	2063.01307	1032.319092	2264.38002	804.628899	748.344536	2180.68232	1697.07678	1705.26488	1487.789758
Ncl	17975	13032.5988	15021.13642	11311.71992	11438.44714	29127.5655	29400.829	10044.13248	11100.30858	11451.96546	9349.02754
Ncl	17975	1245.302414	902.436734	1392.545468	1391.851348	2660.122252	2680.216878	670.138746	689.077011	975.75845	903.290546
Ncl	17975	1835.527524	2413.70018	1348.37398	1655.48286	9841.03134	9402.40744	1734.612984	2982.692248	3479.243792	2905.32954
Statip1	58523	424.885578	792.775172	475.986278	675.364626	1224.554738	1041.03829	455.919402	427.84617	461.178582	267.43859
Rbbp7	245688	11695.1376	7939.79892	9974.13662	8774.54926	24977.58778	23940.8833	7903.430584	7889.30724	6785.4596	6401.79439
Aldh3a2	11671	969.78221	895.744248	908.181872	646.253137	489.240196	414.4000296	816.31768	638.846218	584.5378696	515.115036
Pnliprp1	18946	8.46494288	4.589147	10.15437472	7.939478204	6.78602681	9.9191487	27.8120786	18.92307872	7.46218442	10.45808848
Morf4l2	56397	5209.21816	3619.402678	5783.930576	3542.533772	15024.42424	15609.42902	2558.297438	2588.384728	2903.723148	3518.750468
Actg1	11465	30601.4568	51718.05536	24450.34222	45580.6478	35772.858	36584.18364	44353.64196	42776.0774	25074.41456	22895.35802
Armcx2	67416	1492.697586	364.7415822	945.245364	597.496498	2839.46732	2811.842232	633.387016	177.692315	377.0735638	267.43859
