,Treg.KO,Treg.WT,Memory.KO,Memory.WT,Naive.KO,Naive.WT,Activated.KO,Unactivated.KO,Activated.WT,Unactivated.WT
Lpp,4.56257623244033,5.09475162697617,4.52655332838215,3.9147641139857,4.4828695480091,4.09187991285176,4.10228013320221,5.53124391106378,3.7104907731486,5.04261520788586
Lrp1b,4.00262970835257,4.15267422831691,3.63827724808235,3.33625390343183,3.39096766185609,3.65210684960664,3.28713082207237,3.55706954424479,3.66623489695712,3.38035921932528
Lrrk2,4.55855955904862,4.22751060664314,5.0885264391833,5.71718392731446,5.15123362164651,4.23243692484993,6.22912866230109,4.02071342596667,5.43751243387892,4.31364138678381
Lrrtm1,3.55273051077016,3.32066591532165,3.53689924744255,3.18421531879616,3.25075993422578,3.29390469301208,3.00029555492904,3.02017287231517,3.36277918330812,3.02751533145342
Lrrtm3,3.60521327308167,3.4766387889352,3.55553914572131,3.43153968558185,3.17491696557115,3.43329400942149,3.32066591532165,3.01047903585332,2.86789895776069,2.97486697757119
Lsamp,4.02658146603763,4.19089256041055,4.14121843305018,4.64169300821816,4.29346818448541,4.53611608770626,4.91171849401342,4.51687484862931,4.43169493020805,4.72041854431609
Luzp1,5.72377741229104,5.42132146073159,6.72031079263459,5.96942009760696,5.52666434814912,5.53905539193292,6.21984314433636,5.44048723948561,5.61806149630784,5.15791392731021
Ly6a,13.1157438859368,13.1486177601933,13.3504613901253,13.0615581512686,13.0730103356658,12.0944422810159,12.890556399636,13.4034246840295,11.5194211366546,12.5143327243551
Mageh1,4.09268442120849,4.29198631782053,4.2703297618817,3.96739282404776,4.21187097069698,3.79226912811842,3.97384108876277,3.2971097340862,4.60825699859163,3.63440663276524
Malat1,6.17973257004939,5.9118833476315,6.25163341583076,5.42385957737368,5.84674018923006,6.16080451725086,4.54264592112305,5.71804364900401,5.05770498545054,5.73890699979404
Mall,4.36514039988573,4.14267526523677,3.77890352619023,3.52766177988833,3.55629676071438,3.62887972397954,3.29183729672963,3.26649917348968,3.72035448447092,3.20103046341706
Map1b,4.08861958382246,4.06428988022742,4.15926078640942,4.23548589557698,4.2166792788844,4.02984449937913,4.23799987450502,3.92448684445725,3.83049498976781,3.92071157016789
