,"PROBEID","ENTREZID","SYMBOL"
464,"41235_at",468,"ATF4"
465,"38537_at",22954,"TRIM32"
466,"36018_at",6663,"SOX10"
467,"31731_at",8535,"CBX4"
468,"36348_r_at",8341,"HIST1H2BN"
469,"34456_s_at",2736,"GLI2"
470,"38750_at",4854,"NOTCH3"
471,"41574_at",5411,"PNN"
472,"40363_r_at",4791,"NFKB2"
473,"40109_at",6722,"SRF"
474,"37837_at",22850,"ADNP2"
475,"35413_s_at",7570,"ZNF22"
476,"1801_at",580,"BARD1"
477,"36617_at",3397,"ID1"
478,"35846_at",7067,"THRA"
479,"32550_r_at",1050,"CEBPA"
480,"32086_at",7738,"ZNF184"
481,"39144_at",4772,"NFATC1"
482,"38230_at",2034,"EPAS1"
483,"40393_at",3201,"HOXA4"
484,"33793_at",6942,"TCF20"
485,"1681_at",2099,"ESR1"
486,"34243_i_at",26013,"L3MBTL1"
487,"37870_at",8458,"TTF2"
488,"1939_at",7157,"TP53"
489,"1577_at",367,"AR"
490,"34731_at",22984,"PDCD11"
491,"35337_at",25793,"FBXO7"
492,"981_at",4173,"MCM4"
493,"1472_g_at",4602,"MYB"
494,"39908_at",10629,"TAF6L"
495,"818_s_at",546,"ATRX"
496,"37715_at",22938,"SNW1"
497,"34148_at",6496,"SIX3"
498,"37055_at",2115,"ETV1"
499,"1259_at",7571,"ZNF23"
500,"32951_g_at",11281,"POU6F2"
501,"332_at",7597,"ZBTB25"
502,"34455_at",7568,"ZNF20"
503,"2000_at",472,"ATM"
504,"39971_at",4066,"LYL1"
505,"35943_s_at",2553,"GABPB1"
506,"31867_at",56987,"BBX"
507,"31534_at",7544,"ZFY"
508,"36352_at",54626,"HES2"
509,"39942_at",10538,"BATF"
510,"35380_at",7003,"TEAD1"
511,"41505_r_at",4094,"MAF"
512,"31553_at",10794,"ZNF460"
513,"41828_at",4152,"MBD1"
514,"41489_at",7088,"TLE1"
515,"37333_at",1786,"DNMT1"
516,"41000_at",1112,"FOXN3"
517,"33030_at",3007,"HIST1H1D"
518,"35050_at",51230,"PHF20"
519,"41761_at",7073,"TIAL1"
520,"35656_at",6049,"RNF6"
521,"33831_at",1387,"CREBBP"
522,"40260_g_at",23543,"RBFOX2"
523,"36944_f_at",5325,"PLAGL1"
524,"599_at",3142,"HLX"
525,"32860_g_at",6772,"STAT1"
526,"35975_at",4300,"MLLT3"
527,"39809_at",26959,"HBP1"
528,"40461_at",23051,"ZHX3"
529,"36787_at",2623,"GATA1"
530,"274_at",7707,"ZNF148"
531,"1456_s_at",3428,"IFI16"
532,"1298_at",2099,"ESR1"
533,"31875_at",51665,"ASB1"
534,"33165_at",114034,"TOE1"
535,"36522_at",23373,"CRTC1"
536,"34717_s_at",10772,"SRSF10"
537,"40871_at",7428,"VHL"
538,"35990_at",9923,"ZBTB40"
539,"834_at",10320,"IKZF1"
540,"32908_at",29855,"UBN1"
541,"1471_at",4602,"MYB"
542,"306_s_at",3150,"HMGN1"
543,"38354_at",1051,"CEBPB"
544,"41789_r_at",9819,"TSC22D2"
545,"1490_at",4610,"MYCL"
546,"40659_at",8013,"NR4A3"
547,"41845_at",1406,"CRX"
548,"40405_at",4665,"NAB2"
549,"36928_at",7705,"ZNF146"
550,"992_at",2068,"ERCC2"
551,"40381_at",22869,"ZNF510"
552,"35247_at",10302,"SNAPC5"
553,"36573_at",8554,"PIAS1"
554,"40971_at",23294,"ANKS1A"
555,"35913_at",1820,"ARID3A"
556,"31932_f_at",689,"BTF3"
557,"604_at",672,"BRCA1"
558,"2042_s_at",4602,"MYB"
559,"39860_at",8880,"FUBP1"
560,"38342_at",23338,"PHF15"
561,"40374_at",27063,"ANKRD1"
562,"39837_s_at",168544,"ZNF467"
563,"38063_at",57326,"PBXIP1"
564,"31669_s_at",3207,"HOXA11"
565,"1594_at",5432,"POLR2C"
566,"1857_at",4092,"SMAD7"
567,"244_at",3297,"HSF1"
568,"34631_at",2070,"EYA4"
569,"39132_at",8467,"SMARCA5"
570,"32980_f_at",8339,"HIST1H2BG"
571,"37497_at",3087,"HHEX"
572,"35055_at",689,"BTF3"
573,"40790_at",8553,"BHLHE40"
574,"978_at",604,"BCL6"
575,"1670_at",7027,"TFDP1"
576,"780_at",861,"RUNX1"
577,"39341_at",7205,"TRIP6"
578,"2049_s_at",3726,"JUNB"
579,"40457_at",6428,"SRSF3"
580,"35286_r_at",11017,"SNRNP27"
581,"37561_at",4800,"NFYA"
582,"35082_at",7547,"ZIC3"
583,"32013_at",85446,"ZFHX2"
584,"40621_at",5074,"PAWR"
585,"38227_at",4286,"MITF"
586,"36669_at",2354,"FOSB"
587,"40284_at",3170,"FOXA2"
588,"38692_at",4664,"NAB1"
589,"35495_at",2957,"GTF2A1"
590,"37294_at",694,"BTG1"
591,"40197_at",10217,"CTDSPL"
592,"39836_at",168544,"ZNF467"
593,"38973_at",23119,"HIC2"
594,"31918_at",5629,"PROX1"
595,"39792_at",10236,"HNRNPR"
596,"36953_at",4089,"SMAD4"
597,"37275_at",2553,"GABPB1"
598,"37851_at",28996,"HIPK2"
599,"502_s_at",3198,"HOXA1"
600,"38314_at",23152,"CIC"
601,"1612_s_at",3727,"JUND"
602,"37712_g_at",4208,"MEF2C"
603,"1843_at",5987,"TRIM27"
604,"512_at",10062,"NR1H3"
605,"37625_at",3662,"IRF4"
606,"34225_at",7469,"NELFA"
607,"1407_g_at",7181,"NR2C1"
608,"33864_at",10771,"ZMYND11"
609,"41027_at",2296,"FOXC1"
610,"38148_at",1407,"CRY1"
611,"34956_at",8607,"RUVBL1"
612,"35265_at",9513,"FXR2"
613,"32244_at",9878,"TOX4"
614,"817_at",10138,"YAF2"
615,"1220_g_at",3660,"IRF2"
616,"33726_at",5433,"POLR2D"
617,"34667_at",4799,"NFX1"
618,"41315_at",6294,"SAFB"
619,"41783_at",1382,"CRABP2"
620,"34628_at",6875,"TAF4B"
621,"41251_at",9326,"ZNHIT3"
622,"41355_at",53335,"BCL11A"
623,"40838_at",23036,"ZNF292"
624,"34327_at",6596,"HLTF"
625,"1784_s_at",5926,"ARID4A"
626,"36225_s_at",NA,NA
627,"36726_at",5075,"PAX1"
628,"868_at",6881,"TAF10"
629,"37491_at",6872,"TAF1"
630,"1641_s_at",1642,"DDB1"
631,"35616_at",4261,"CIITA"
632,"31555_at",3211,"HOXB1"
633,"40219_at",NA,NA
634,"32410_at",4656,"MYOG"
635,"36721_s_at",3172,"HNF4A"
636,"40007_at",10320,"IKZF1"
637,"37622_r_at",11168,"PSIP1"
638,"1570_f_at",5925,"RB1"
639,"1842_at",1649,"DDIT3"
640,"41309_g_at",1487,"CTBP1"
641,"40999_at",9968,"MED12"
642,"34220_at",51460,"SFMBT1"
643,"39870_at",27288,"RBMXL2"
644,"38945_at",4520,"MTF1"
645,"31750_at",3009,"HIST1H1B"
646,"37863_at",1959,"EGR2"
647,"33356_at",55534,"MAML3"
648,"32399_at",2122,"MECOM"
649,"37812_at",23316,"CUX2"
650,"36507_at",8427,"ZNF282"
651,"38009_at",25803,"SPDEF"
652,"32381_at",6096,"RORB"
653,"41762_at",7073,"TIAL1"
654,"41332_at",5434,"POLR2E"
655,"36571_at",7155,"TOP2B"
656,"40711_at",91746,"YTHDC1"
657,"32800_at",6256,"RXRA"
658,"38050_at",9774,"BCLAF1"
659,"1883_s_at",4299,"AFF1"
660,"853_at",4780,"NFE2L2"
661,"35631_at",5437,"POLR2H"
662,"39143_at",4772,"NFATC1"
663,"35883_at",6689,"SPIB"
664,"37586_at",7701,"ZNF142"
665,"33982_f_at",7594,"ZNF43"
666,"34989_at",7696,"ZNF137P"
667,"35110_at",54737,"MPHOSPH8"
668,"39701_at",5178,"PEG3"
669,"36516_at",25888,"ZNF473"
670,"249_at",4776,"NFATC4"
671,"338_at",22926,"ATF6"
672,"40961_at",6595,"SMARCA2"
673,"35824_at",10472,"ZBTB18"
674,"1373_at",6929,"TCF3"
675,"40816_at",11137,"PWP1"
676,"37860_at",26152,"ZNF337"
677,"35865_at",2494,"NR5A2"
678,"413_at",3235,"HOXD9"
679,"31734_at",3227,"HOXC11"
680,"32601_s_at",5432,"POLR2C"
681,"34242_at",26013,"L3MBTL1"
682,"37280_at",4086,"SMAD1"
683,"40088_at",8204,"NRIP1"
684,"34720_at",4781,"NFIB"
685,"36487_at",6474,"SHOX2"
686,"35225_at",7629,"ZNF76"
687,"36586_at",9049,"AIP"
688,"31390_at",7710,"ZNF154"
689,"38992_at",7913,"DEK"
690,"38166_r_at",8085,"KMT2D"
691,"36690_at",2908,"NR3C1"
692,"39608_at",6493,"SIM2"
693,"2041_i_at",25,"ABL1"
694,"32694_at",5915,"RARB"
695,"224_at",7071,"KLF10"
696,"40312_at",1602,"DACH1"
697,"37419_g_at",5452,"POU2F2"
698,"35158_at",4613,"MYCN"
699,"33014_at",7975,"MAFK"
700,"142_at",6874,"TAF4"
701,"295_s_at",3975,"LHX1"
702,"34715_at",2305,"FOXM1"
703,"35724_at",8544,"PIR"
704,"40691_at",10782,"ZNF274"
705,"35104_r_at",4004,"LMO1"
706,"34299_at",23598,"PATZ1"
707,"37730_at",27044,"SND1"
